state,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,weekOne,weekTwo,change
AL,922,427,442,492,319,228,361,408,478,400,349,194,109,196,455.85714285714283,304.85714285714283,-33.12441240990285
AK,220,149,192,8,1,1,636,0,397,203,0,0,500,80,172.42857142857142,168.57142857142858,-2.2369511184755453
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
AZ,605,138,571,776,554,604,586,733,381,940,706,464,608,570,547.7142857142857,628.8571428571429,14.81481481481483
AR,231,334,184,165,69,79,178,212,211,144,217,84,44,163,177.14285714285714,153.57142857142858,-13.306451612903217
CA,2830,2530,3442,2104,1999,3200,2353,2479,2604,3842,901,650,6119,2184,2636.8571428571427,2682.714285714286,1.7390833243038348
CO,1216,1373,1409,1295,957,807,957,1763,1604,1645,1571,1220,867,1266,1144.857142857143,1419.4285714285713,23.98302969802844
CT,1457,1488,1700,0,0,3229,1617,568,1844,1488,0,0,2699,1074,1355.857142857143,1096.142857142857,-19.15498893688758
DE,210,219,287,376,361,340,171,229,386,402,487,299,201,229,280.57142857142856,319,13.696537678207745
DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
DC,107,74,156,226,124,73,165,100,143,151,125,105,75,122,132.14285714285714,117.28571428571429,-11.243243243243235
FL,5143,5773,5750,5883,4943,3374,5062,5294,6790,6490,6017,4794,3480,5556,5132.571428571428,5488.714285714285,6.938877755511016
GA,1224,1964,1659,1410,826,1165,1320,1807,1425,1582,1125,874,643,1474,1366.857142857143,1275.7142857142858,-6.668060200668894
GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
GU,0,5,3,3,0,4,1,2,3,2,4,0,7,2,2.2857142857142856,2.857142857142857,25.00000000000001
HI,58,121,170,112,102,100,75,100,113,262,112,96,93,59,105.42857142857143,119.28571428571429,13.143631436314369
ID,425,343,317,224,0,335,313,460,361,284,0,0,655,346,279.57142857142856,300.85714285714283,7.613694430250381
IL,2809,2193,2995,2684,2247,1770,2401,2596,3522,3234,2836,2442,2097,2947,2442.714285714286,2810.5714285714284,15.05936019650271
IN,967,952,1101,977,944,713,720,1044,1216,1203,1049,945,715,615,910.5714285714286,969.5714285714286,6.479447756510826
IA,608,906,559,497,160,505,537,646,735,577,493,155,467,728,538.8571428571429,543,0.7688229056203545
KS,570,52,439,0,0,430,25,497,22,467,0,0,355,9,216.57142857142858,192.85714285714286,-10.949868073878632
KY,695,720,641,0,969,309,740,803,966,685,579,0,405,330,582,538.2857142857143,-7.511045655375543
LA,450,399,449,0,0,836,509,519,536,0,0,0,1268,218,377.57142857142856,363,-3.8592508513053305
