state,3/24/21,3/25/21,3/26/21,3/27/21,3/28/21,3/29/21,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,weekOne,weekTwo,change
ME,199,218,253,210,197,180,223,251,284,401,281,295,221,291,211.42857142857142,289.14285714285717,36.75675675675677
MD,1173,1382,1361,1366,1335,1031,903,1366,1584,1457,1275,1669,859,867,1221.5714285714287,1296.7142857142858,6.151327330136823
MA,2121,2410,2760,2570,1975,1500,2050,2499,2759,2440,2453,0,2988,1803,2198,2134.5714285714284,-2.8857402833745023
MI,5172,5843,6062,5245,0,9238,6306,7107,7098,6151,9292,0,11082,6149,5409.428571428572,6697,23.802355675275972
MN,1310,1857,1699,1736,1225,1550,1273,1648,2138,2536,2064,0,1383,3012,1521.4285714285713,1825.857142857143,20.009389671361514
MS,387,317,268,210,196,79,163,288,271,284,290,97,70,183,231.42857142857142,211.85714285714286,-8.456790123456784
MO,843,1234,910,596,426,337,563,700,700,751,560,537,327,576,701.2857142857143,593,-15.441026685679372
MT,214,164,150,117,31,35,158,231,173,128,182,107,0,191,124.14285714285714,144.57142857142858,16.45569620253166
NE,232,288,440,451,306,129,359,434,550,1343,331,242,146,299,315,477.85714285714283,51.70068027210883
NV,246,444,445,302,143,212,221,268,350,342,462,260,181,295,287.57142857142856,308.2857142857143,7.203179334326879
NH,389,518,335,371,282,313,374,462,363,471,438,398,279,396,368.85714285714283,401,8.714175058094508
NJ,4096,3946,5599,4662,4509,3621,4871,3672,5606,4529,4445,3799,2831,3710,4472,4084.5714285714284,-8.663429593662155
NM,211,216,225,171,161,182,147,275,293,207,0,0,443,178,187.57142857142858,199.42857142857142,6.321401370906308
NY,27644,8551,8059,8694,8910,8742,5875,7789,9170,8038,7755,7636,6659,6041,10925,7584,-30.5812356979405
NC,2098,2112,2154,0,0,5305,1370,1929,2027,0,0,0,6401,870,1862.7142857142858,1603.857142857143,-13.896771224787177
ND,136,197,184,154,47,56,241,211,208,161,117,61,76,260,145,156.28571428571428,7.783251231527089
MP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14285714285714285,0.14285714285714285,0
OH,1848,1501,2742,1690,1019,1497,2458,1989,2475,1677,2293,0,2918,1871,1822.142857142857,1889,3.6691493531948276
OK,501,369,467,0,0,882,121,390,413,372,0,0,873,120,334.2857142857143,309.7142857142857,-7.350427350427345
OR,367,421,490,408,250,212,406,442,512,489,467,402,246,530,364.85714285714283,441.14285714285717,20.908379013312466
PA,4617,3598,4983,5596,243,4150,5111,4686,3864,4017,5133,2832,4204,4722,4042.5714285714284,4208.285714285715,4.099229627535528
PR,78,260,399,268,595,447,170,365,510,792,635,426,189,211,316.7142857142857,446.85714285714283,41.091565178168686
RI,471,483,485,0,0,644,346,564,519,407,0,0,918,376,347,397.7142857142857,14.61506792918897
SC,1013,1329,1416,1444,1085,869,601,961,1051,1350,1243,0,1195,1334,1108.142857142857,1019.1428571428571,-8.03145545958489
SD,270,254,209,248,163,92,159,264,230,197,175,0,156,163,199.28571428571428,169.28571428571428,-15.053763440860216
TN,1388,1519,781,0,0,2900,837,1313,1772,0,0,0,3408,986,1060.7142857142858,1068.4285714285713,0.727272727272712
TX,3989,3192,6919,3094,3271,3484,3209,2482,5100,2365,1843,1007,4683,4362,3879.714285714286,3120.285714285714,-19.57434273510568
UT,562,527,453,460,389,194,371,514,487,422,447,344,173,300,422.2857142857143,383.85714285714283,-9.100135317997298
VT,95,187,283,125,197,182,107,166,248,232,150,244,118,106,168,180.57142857142858,7.482993197278918
VI,109,1,11,13,6,0,0,0,0,0,0,0,38,0,20,5.428571428571429,-72.85714285714285
VA,1470,1559,1799,1912,1392,1143,1432,1035,1825,1538,1542,1267,1023,1434,1529.5714285714287,1380.5714285714287,-9.74129074437284
WA,963,1107,1060,1449,0,1270,850,1251,1276,1353,1288,0,1614,635,957,1059.5714285714287,10.718017614569348
WV,389,433,499,566,297,378,331,416,495,420,453,350,277,277,413.2857142857143,384,-7.086069823712407
WI,1514,822,822,718,470,320,861,727,867,893,789,637,326,1151,789.5714285714286,770,-2.478740727338518
WY,88,33,126,0,0,144,46,74,79,58,0,0,82,90,62.42857142857143,54.714285714285715,-12.356979405034327
