state,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,weekOne,weekTwo,change
AL,361,408,478,400,349,194,109,196,338,464,318,354,311,172,328.42857142857144,307.57142857142856,-6.3505872118312405
AK,636,0,397,203,0,0,500,80,222,228,251,0,0,398,248,168.42857142857142,-32.0852534562212
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
AZ,586,733,381,940,706,464,608,570,750,670,1302,819,540,675,631.1428571428571,760.8571428571429,20.55228610230875
AR,178,212,211,144,217,84,44,163,244,199,178,171,100,69,155.71428571428572,160.57142857142858,3.119266055045874
CA,2353,2479,2604,3842,992,690,5988,2184,2448,2538,3643,3306,3491,3599,2706.8571428571427,3029.8571428571427,11.932657800295548
CO,957,1763,1604,1645,1571,1220,867,1266,1914,1885,1936,1454,1235,912,1375.2857142857142,1514.5714285714287,10.127765659083838
CT,1617,568,1844,1488,0,0,2699,1074,1038,1012,1807,0,0,2985,1173.7142857142858,1130.857142857143,-3.651411879259983
DE,171,229,386,402,487,299,201,229,236,362,380,419,367,355,310.7142857142857,335.42857142857144,7.9540229885057485
DP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
DC,165,100,143,151,125,105,75,122,94,170,136,128,68,73,123.42857142857143,113,-8.449074074074076
FL,5062,5294,6790,6490,6017,4794,3480,5556,5885,7939,7121,6906,5520,1613,5418.142857142857,5791.428571428572,6.889550979513283
GA,1320,1807,1425,1582,1125,874,643,1474,1528,1490,1441,1570,1092,939,1253.7142857142858,1362,8.637192342752957
GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
GU,1,2,3,2,4,0,7,2,3,2,3,0,0,9,2.7142857142857144,2.7142857142857144,0
HI,75,100,113,262,112,96,93,59,76,122,175,113,92,70,121.57142857142857,101,-16.921269095182137
ID,313,460,361,284,0,0,655,346,349,310,312,0,0,538,296.14285714285717,265,-10.51616015436566
IL,2401,2596,3522,3234,2836,2442,2097,2947,3774,3727,4007,3639,2939,2451,2732.5714285714284,3354.8571428571427,22.77289836888331
IN,720,1044,1216,1203,1049,945,715,615,1212,1384,1339,1358,1159,1131,984.5714285714286,1171.142857142857,18.949506674405107
IA,537,646,735,577,493,155,467,728,272,625,619,750,196,178,515.7142857142857,481.14285714285717,-6.703601108033228
KS,25,497,22,467,0,0,355,9,530,22,428,0,0,489,195.14285714285714,211.14285714285714,8.199121522693996
