state,3/30/21,3/31/21,4/1/21,4/2/21,4/3/21,4/4/21,4/5/21,4/6/21,4/7/21,4/8/21,4/9/21,4/10/21,4/11/21,4/12/21,weekOne,weekTwo,change
KY,740,803,966,685,579,0,405,330,1019,627,733,500,365,267,596.8571428571429,548.7142857142857,-8.066060315940653
LA,509,519,536,0,0,0,1268,218,700,449,734,0,0,989,404.57142857142856,441.42857142857144,9.110169491525433
ME,223,251,284,401,281,295,221,291,400,319,438,311,215,296,279.42857142857144,324.2857142857143,16.05316973415132
MD,903,1366,1584,1457,1275,1669,859,867,1471,1297,1840,1584,1483,985,1301.857142857143,1361,4.542960605728078
MA,2050,2499,2759,2440,2453,0,2988,1803,2550,2393,2312,2300,1991,1532,2169.8571428571427,2125.8571428571427,-2.0277832642043587
MI,6306,7107,7098,6151,9292,0,11082,6149,9369,8539,8834,7539,0,10553,6719.428571428572,7283.285714285715,8.391444850752618
MN,1273,1648,2138,2536,2064,0,1383,3012,1996,2524,2646,2449,1776,1993,1577.4285714285713,2342.285714285714,48.48759282738635
MS,163,288,271,284,290,97,70,183,270,240,243,238,117,70,209,194.42857142857142,-6.971975393028031
MO,563,700,700,751,560,537,327,576,775,792,778,670,480,336,591.1428571428571,629.5714285714286,6.500724987916871
MT,158,231,173,128,182,107,0,191,193,224,224,168,41,70,139.85714285714286,158.71428571428572,13.483146067415733
NE,359,434,550,1343,331,242,146,299,528,403,386,436,197,144,486.42857142857144,341.85714285714283,-29.720998531571226
NV,221,268,350,342,462,260,181,295,277,386,637,752,320,319,297.7142857142857,426.57142857142856,43.28214971209212
NH,374,462,363,471,438,398,279,396,414,506,537,468,408,375,397.85714285714283,443.42857142857144,11.454219030520656
NJ,4871,3672,5606,4529,4445,3799,2831,3710,4243,4332,4193,3599,3387,2468,4250.428571428572,3704.5714285714284,-12.842402446812093
NM,147,275,293,207,0,0,443,178,216,258,121,0,0,619,195,198.85714285714286,1.97802197802198
NY,5875,7789,9170,8038,7755,7636,6659,6041,6643,8727,8662,7495,6630,5631,7560.285714285715,7118.428571428572,-5.8444503231170435
NC,1370,1929,2027,0,0,0,6401,870,1380,2087,2509,0,0,5655,1675.2857142857142,1785.857142857143,6.600153491941679
ND,241,211,208,161,117,61,76,260,193,197,124,213,44,63,153.57142857142858,156.28571428571428,1.7674418604651028
MP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.14285714285714285,Infinity
OH,2458,1989,2475,1677,2293,0,2918,1871,2064,2742,1946,2048,1855,1934,1972.857142857143,2065.714285714286,4.706734250543086
OK,121,390,413,372,0,0,873,120,1764,483,416,0,0,968,309.85714285714283,535.8571428571429,72.93683725218997
OR,406,442,512,489,467,402,246,530,470,667,543,747,483,282,423.42857142857144,531.7142857142857,25.57354925775977
PA,5111,4686,3864,4017,5133,2832,4204,4722,4676,4440,5141,4023,3194,4012,4263.857142857143,4315.428571428572,1.2095017924749525
PR,170,365,510,792,635,426,189,211,446,1081,1440,997,1102,1079,441,908,105.89569160997732
RI,346,564,519,407,0,0,918,376,476,509,563,0,0,0,393.42857142857144,274.85714285714283,-30.137981118373286
SC,601,961,1051,1350,1243,0,1195,1334,828,966,1165,1011,918,736,914.4285714285714,994,8.70176534916419
SD,159,264,230,197,175,0,156,163,295,222,270,238,0,187,168.71428571428572,196.42857142857142,16.426756985605408
TN,837,1313,1772,0,0,0,3408,986,1497,1460,1120,0,0,2829,1047.142857142857,1127.4285714285713,7.667121418826733
TX,3209,2482,5100,2365,1843,1007,4683,4362,3840,4490,3289,2662,1426,4995,2955.5714285714284,3580.5714285714284,21.146502972594135
UT,371,514,487,422,447,344,173,300,612,483,444,407,344,185,394,396.42857142857144,0.6163886874546814
VT,107,166,248,232,150,244,118,106,69,227,146,150,237,89,180.71428571428572,146.28571428571428,-19.051383399209495
VI,0,0,0,0,0,0,38,0,0,26,0,0,0,27,5.428571428571429,7.571428571428571,39.47368421052631
VA,1432,1035,1825,1538,1542,1267,1023,1434,1550,1928,1542,1700,1227,1310,1380.2857142857142,1527.2857142857142,10.64996895052784
WA,850,1251,1276,1353,1288,0,1614,635,1518,1042,1582,1436,0,1722,1090.2857142857142,1133.5714285714287,3.9701257861635373
WV,331,416,495,420,453,350,277,277,364,446,479,455,415,293,391.7142857142857,389.85714285714283,-0.4741064916119703
WI,861,727,867,893,789,637,326,1151,938,1115,1194,950,613,450,728.5714285714286,915.8571428571429,25.705882352941185
WY,46,74,79,58,0,0,82,90,81,102,71,0,0,115,48.42857142857143,65.57142857142857,35.398230088495566
